"nms873"	"n616_ad4_zscore"	"cons"
"ZINC00022454217"	0.64549391	-1.273092284	-0.627598374
"ZINC00022454221"	1.614779502	NA	NA
"ZINC00022454226"	0.271208549	-1.543380535	-1.272171986
"ZINC00022454243"	1.262894655	-0.867659907	0.395234748
"ZINC000226098299"	NA	-1.59203242	NA
"ZINC000226098299  "	0.929068443	NA	NA
"ZINC0002261"	0.344773879	NA	NA
"ZINC0002264"	NA	-0.700081191	NA
"ZINC0002267166"	1.330982127	-0.937934852	0.393047275
"ZINC0002276110"	NA	-0.781167666	NA
"ZINC00022816725"	NA	-0.829819551	NA
"ZINC00022816725  "	1.146321427	NA	NA
"ZINC00022920326"	0.259933096	-1.50554018	-1.245607084
"ZINC0002299"	NA	-0.402764114	NA
"ZINC0002303"	0.280025901	-0.802790726	-0.522764825
"ZINC000230453533"	NA	-0.52709671	NA
"ZINC000230453533  "	0.990077844	NA	NA
"ZINC000230477930"	NA	-0.278431518	NA
"ZINC000230477930  "	1.365787511	NA	NA
"ZINC000230816037"	NA	-0.937934852	NA
"ZINC000230816037  "	0.93736151	NA	NA
"ZINC000231226004  "	0.683140165	NA	NA
"ZINC000231374665"	NA	-0.159504688	NA
"ZINC000231374665  "	1.072729415	NA	NA
"ZINC000231808"	0.8637513	NA	NA
"ZINC00023255"	0.505197613	-0.532502475	-0.027304862
"ZINC0002379515"	0.225866023	-0.218968103	0.00689792
"ZINC0002379524"	0.259564055	NA	NA
"ZINC0002386759"	NA	-0.51628518	NA
"ZINC0002386778"	0.224010815	-1.52716324	-1.303152425
"ZINC000238809556"	NA	-0.435198704	NA
"ZINC000238809556  "	0.178126624	NA	NA
"ZINC000238809664"	NA	-0.110852803	NA
"ZINC000238809664  "	0.141013611	NA	NA
"ZINC0002391787"	0.598995413	NA	NA
"ZINC0002392218"	NA	-0.694675426	NA
"ZINC00024044436"	1.442793425	-0.094635507	1.348157918
"ZINC000245240534"	NA	-2.667779661	NA
"ZINC00024658"	0.311437653	NA	NA
"ZINC00024760115"	0.987903023	NA	NA
"ZINC00024809155"	1.13767913	-0.678458131	0.459220999
"ZINC00024811973"	1.170482168	-0.348706464	0.821775704
"ZINC0002483738"	0.897934192	-0.954152147	-0.0562179549999999
"ZINC00024946"	NA	-0.386546819	NA
"ZINC0002507598"	0.207982768	-0.964963677	-0.756980909
"ZINC0002507616"	NA	-0.148693158	NA
"ZINC0002509484"	NA	-0.100041272	NA
"ZINC0002510358"	0.100588704	NA	NA
"ZINC0002511843"	0.654760564	NA	NA
"ZINC0002516099"	0.090070476	-1.056861682	-0.966791206
"ZINC000252286706"	NA	-0.251402693	NA
"ZINC000252438305  "	0.299253424	NA	NA
"ZINC000252441616  "	0.384698409	NA	NA
"ZINC000252441679  "	0.178126624	NA	NA
"ZINC000252467390"	NA	-0.137881628	NA
"ZINC000252517950  "	0.299253424	NA	NA
"ZINC0002526465"	0.437357924	-0.500067885	-0.062709961
"ZINC0002526466"	NA	-0.364923759	NA
"ZINC0002526554"	0.824310841	NA	NA
"ZINC0002526560"	0.494627176	NA	NA
"ZINC0002526561"	0.456443015	NA	NA
"ZINC0002526562"	1.150211833	-0.510879415	0.639332418
"ZINC000252677607"	NA	-0.54871977	NA
"ZINC000252677607  "	0.403178482	NA	NA
"ZINC0002526884"	0.301067311	-0.716298486	-0.415231175
"ZINC000253036"	0.903615778	NA	NA
"ZINC0002530684"	0.204506863	-0.813602256	-0.609095393
"ZINC0002530707"	0.910976303	-1.089296273	-0.17831997
"ZINC000253387843  "	0.299253424	NA	NA
"ZINC000253387927"	NA	-0.727110016	NA
"ZINC000253387927  "	1.163397801	NA	NA
"ZINC000253533285"	NA	-1.478511355	NA
"ZINC0002541693"	0.463294922	NA	NA
"ZINC00025427051"	0.154498463	-0.191939278	-0.037440815
"ZINC0002555356"	0.173843628	-1.45148253	-1.277638902
"ZINC0002555360"	NA	-0.121664333	NA
"ZINC0002557944"	0.186919711	-0.554125535	-0.367205824
"ZINC0002557947"	NA	-1.50554018	NA
"ZINC0002557949"	0.069817622	-0.970369442	-0.90055182
"ZINC0002557951"	NA	-0.54871977	NA
"ZINC0002557954"	NA	-1.58122089	NA
"ZINC0002557957"	NA	-1.327149934	NA
"ZINC0002557962"	NA	-1.159571218	NA
"ZINC0002558154"	0.103906422	NA	NA
"ZINC0002563946"	0.680959262	-0.710892721	-0.029933459
"ZINC0002563947"	0.16808303	-1.532569005	-1.364485975
"ZINC0002566164"	1.025505256	-1.305526874	-0.280021618
"ZINC0002567089"	0.128183832	-1.467699825	-1.339515993
"ZINC0002568224"	NA	-0.240591163	NA
"ZINC0002568228"	0.149249123	NA	NA
"ZINC0002568376"	0.227508629	NA	NA
"ZINC0002570895"	1.099992484	-0.127070098	0.972922386
"ZINC0002572484"	0.532099335	-1.586626655	-1.05452732
"ZINC00025756875"	0.054296378	-0.964963677	-0.910667299
"ZINC0002575699"	1.015717814	NA	NA
"ZINC0002575702"	0.227369484	-1.419047939	-1.191678455
"ZINC00025757754"	NA	-0.078418212	NA
"ZINC00025758512"	NA	-0.073012447	NA
"ZINC00025758996"	0.108138775	-0.5595313	-0.451392525
"ZINC0002576349"	0.71923968	-0.029766327	0.689473353
"ZINC0002576957"	0.776904446	NA	NA
"ZINC0002577049"	0.682447117	NA	NA
"ZINC0002577057"	NA	-0.451415999	NA
"ZINC0002581407"	0.007879472	NA	NA
"ZINC0002581411"	NA	-0.137881628	NA
"ZINC0002581411  "	0.513110995	NA	NA
"ZINC0002582197"	0.012955196	-0.251402693	-0.238447497
"ZINC0002583789"	0.271668286	-0.013549032	0.258119254
"ZINC0002584032"	0.15336154	-0.202750808	-0.049389268
"ZINC00025958"	0.290874096	-0.662240835	-0.371366739
"ZINC0002596977"	NA	-0.59196589	NA
"ZINC00026011099"	0.215269917	NA	NA
"ZINC00026174383"	0.921183295	-0.991992502	-0.070809207
"ZINC00026185346"	0.084254449	-0.094635507	-0.010381058
"ZINC00026186622"	0.725148422	NA	NA
"ZINC00026251015"	1.317865417	-2.165043513	-0.847178096
"ZINC00026267226"	NA	-1.300121109	NA
"ZINC00026267226  "	1.637797845	NA	NA
"ZINC00026381513"	1.07981277	-0.808196491	0.271616279
"ZINC00026396245"	NA	-0.175721983	NA
"ZINC00026490620"	0.601762611	-0.808196491	-0.20643388
"ZINC00026501186"	NA	-0.364923759	NA
"ZINC00026580328"	NA	-0.851442611	NA
"ZINC00026580328  "	1.040267777	NA	NA
"ZINC00026718411"	NA	-0.202750808	NA
"ZINC00026718411  "	1.274001621	NA	NA
"ZINC0002675"	NA	-0.564937065	NA
"ZINC00026817456"	0.066050709	-0.143287393	-0.077236684
"ZINC00026892317"	0.249217277	NA	NA
"ZINC00027092697"	NA	-0.094635507	NA
"ZINC00027101553"	0.665251435	-0.002737502	0.662513933
"ZINC00027439698"	0.957777646	-1.046050152	-0.088272506
"ZINC000275584"	NA	-0.348706464	NA
"ZINC0002757438"	0.736863632	NA	NA
"ZINC00027638621"	1.036127673	NA	NA
"ZINC00027646328"	NA	-0.62440048	NA
"ZINC00027849754"	0.096284419	-0.137881628	-0.041597209
"ZINC00027990463  "	0.432090919	NA	NA
"ZINC00028116057"	0.189947488	NA	NA
"ZINC00028124370"	NA	-2.138014688	NA
"ZINC00028124370  "	1.31298125	NA	NA
"ZINC00028332661"	1.044366007	-0.959557912	0.0848080950000001
"ZINC00028455803"	NA	-0.267619988	NA
"ZINC00028467879"	0.703073743	NA	NA
"ZINC0002857102"	0.642427126	NA	NA
"ZINC00028571311"	1.024183188	-0.883877202	0.140305986
"ZINC00028572103"	0.543519482	NA	NA
"ZINC00028701758"	1.415496264	NA	NA
"ZINC00028711056"	NA	-0.170316218	NA
"ZINC00028824607"	1.326623473	-1.094702038	0.231921435
"ZINC00028824948"	1.00502821	-0.170316218	0.834711992
"ZINC00028827350"	NA	-0.462227529	NA
"ZINC00028827350  "	1.007812005	NA	NA
"ZINC00028863086"	NA	-0.100041272	NA
"ZINC00028883606"	1.394343274	NA	NA
"ZINC00028965775"	1.131999096	NA	NA
"ZINC0002902646"	0.561830298	-1.062267448	-0.50043715
"ZINC00029043612"	1.184460885	-1.802857256	-0.618396371
"ZINC00029043709"	1.438516808	-1.073078978	0.36543783
"ZINC00029053046"	1.092281769	-0.927123322	0.165158447
"ZINC00029055563"	NA	-0.208156573	NA
"ZINC00029055563  "	1.096844292	NA	NA
"ZINC00029058869"	NA	-0.905500262	NA
"ZINC00029058869  "	0.266143172	NA	NA
"ZINC00029126798"	NA	-1.50554018	NA
"ZINC00029126798  "	1.222879173	NA	NA
"ZINC00029134397"	1.463194382	-1.878537967	-0.415343585
"ZINC00029134440"	0.893252112	-0.364923759	0.528328353
"ZINC00029134880"	NA	-1.294715344	NA
"ZINC00029134880  "	0.746937695	NA	NA
"ZINC00029136020"	1.333939795	-4.678724251	-3.344784456
"ZINC00029222893"	0.529176746	-0.964963677	-0.435786931
"ZINC000292702"	0.449792054	NA	NA
"ZINC00029319828"	0.705922842	NA	NA
"ZINC00029464717"	1.401307185	-0.446010234	0.955296951
"ZINC00029486259"	0.959881582	-0.910906027	0.0489755549999999
"ZINC00029489118"	0.853875632	-1.413642174	-0.559766542
"ZINC00029747244"	0.937996645	-1.52716324	-0.589166595
"ZINC0002986592"	0.370626209	NA	NA
"ZINC00029938125"	0.746716621	-0.489256355	0.257460266
"ZINC00030691168"	0.924516807	-0.435198704	0.489318103
"ZINC00030691369  "	1.521591404	NA	NA
"ZINC00030691727"	1.309103913	-0.510879415	0.798224498
"ZINC00030691736"	1.244858721	NA	NA
"ZINC00030691750"	0.229692401	NA	NA
"ZINC00030691754"	1.151822337	NA	NA
"ZINC00030691787  "	0.9835561	NA	NA
"ZINC00030691797"	0.744816297	-1.143353923	-0.398537626
"ZINC00030726863"	0.13239684	-0.121664333	0.010732507
"ZINC00031261349"	NA	-0.5595313	NA
"ZINC00031298178"	0.227718795	-1.013615562	-0.785896767
"ZINC00031393671"	0.059507083	-1.208223103	-1.14871602
"ZINC00031415656"	0.133105453	NA	NA
"ZINC00031544793"	0.071045066	-1.440671	-1.369625934
"ZINC00031771664"	0.369718297	-1.300121109	-0.930402812
"ZINC0003201907"	0.027920006	NA	NA
"ZINC00032303365"	NA	-0.819008021	NA
"ZINC00032840817"	NA	-0.181127748	NA
"ZINC000328577260"	NA	-0.483850589	NA
"ZINC000328577260  "	0.929793667	NA	NA
"ZINC0003322"	0.575072951	NA	NA
"ZINC00033295985"	0.114224582	NA	NA
"ZINC00033299"	0.023554454	-0.127070098	-0.103515644
"ZINC00033359230"	0.09789088	-0.748733076	-0.650842196
"ZINC00033359230z"	0.120946867	NA	NA
"ZINC00033359232"	0.430753219	-0.894688732	-0.463935513
"ZINC00033359844"	NA	-0.775761901	NA
"ZINC00033359844  "	0.839894614	NA	NA
"ZINC00033753464"	0.476465352	NA	NA
"ZINC00033821235"	0.053051742	NA	NA
"ZINC00033943508"	NA	-0.49466212	NA
"ZINC00033982888"	NA	-0.65683507	NA
"ZINC00033991990"	NA	-0.835225316	NA
"ZINC00033991990  "	0.937571494	NA	NA
"ZINC00034001955"	1.183994533	NA	NA
"ZINC00034011228"	NA	-1.127136628	NA
"ZINC00034025113"	NA	-1.343367229	NA
"ZINC00034025113  "	0.874565025	NA	NA
"ZINC00034027229"	0.553542739	-0.662240835	-0.108698096
"ZINC00034035621"	0.678043557	-1.024427092	-0.346383535
"ZINC00034039290"	1.057234751	-1.824480317	-0.767245566
"ZINC00034045468"	NA	-0.49466212	NA
"ZINC00034048998"	1.080618998	-0.775761901	0.304857097
"ZINC00034051848"	NA	-0.916311792	NA
"ZINC00034082873"	0.096809507	NA	NA
"ZINC00034089131"	0.615793145	NA	NA
"ZINC00034089134"	0.619879083	-0.5595313	0.0603477830000001
"ZINC00034114798"	0.868493602	-1.413642174	-0.545148572
"ZINC00034139163"	1.369157992	NA	NA
"ZINC00034177219"	1.31615441	-2.521824005	-1.205669595
"ZINC00034272162"	NA	-0.618994715	NA
"ZINC00034272162  "	0.552787985	NA	NA
"ZINC00034285211"	1.122770294	-0.327083404	0.79568689
"ZINC00034285235"	0.891221842	-0.63521201	0.256009832
"ZINC0003429078"	NA	-0.424387174	NA
"ZINC00034299752"	1.301639495	-1.381207584	-0.0795680889999999
"ZINC00034375693"	0.951460284	-1.219034633	-0.267574349
"ZINC00034451922"	1.10445156	-1.094702038	0.0097495219999999
"ZINC00034587071"	0.960708261	NA	NA
"ZINC00034603838"	NA	-0.289243048	NA
"ZINC00034608502"	1.06603446	-0.932529087	0.133505373
"ZINC00034630490"	1.170557698	-0.586560125	0.583997573
"ZINC00034638188"	1.431243671	-0.262214223	1.169029448
"ZINC00034640412"	0.628651427	-0.673052365	-0.044400938
"ZINC00034642570"	0.739671456	-0.57034283	0.169328626
"ZINC00034781704"	NA	-0.143287393	NA
"ZINC000348"	NA	-0.467633294	NA
"ZINC00034806477"	0.877165814	NA	NA
"ZINC00034815611"	NA	-0.532502475	NA
"ZINC00034815611  "	1.490025846	NA	NA
"ZINC00034842284"	1.353516731	-1.164976983	0.188539748
"ZINC00034842823"	0.82985941	-0.181127748	0.648731662
"ZINC00034850365"	NA	-1.846103377	NA
"ZINC00034850365  "	0.58356012	NA	NA
"ZINC00034851244"	NA	-1.213628868	NA
"ZINC00034851244  "	1.592812104	NA	NA
"ZINC00034853956"	0.669686894	NA	NA
"ZINC00034885047"	0.544342111	-0.267619988	0.276722123
"ZINC00034892413"	NA	-0.5595313	NA
"ZINC00034892413  "	0.053959195	NA	NA
"ZINC00034894449"	0.687315786	NA	NA
"ZINC00034894706"	0.309879621	-0.202750808	0.107128813
"ZINC00034946588"	1.111463125	-0.883877202	0.227585923
"ZINC00034951302"	0.922598732	-0.62440048	0.298198252
"ZINC00034951380"	0.481902855	NA	NA
"ZINC00034962220"	NA	-0.245996928	NA
"ZINC00034967244"	0.740786571	-0.381141054	0.359645517
"ZINC00034997331"	1.342811144	-0.759544606	0.583266538
"ZINC00035024805"	NA	-0.159504688	NA
"ZINC00035024805  "	0.289141179	NA	NA
"ZINC00035077050"	1.452961964	NA	NA
"ZINC00035261438"	1.500048401	-0.316271874	1.183776527
"ZINC00035307932"	0.817722929	NA	NA
"ZINC00035308805  "	0.110432135	NA	NA
"ZINC00035310420"	1.116665096	-1.419047939	-0.302382843
"ZINC00035323125"	NA	-0.343300699	NA
"ZINC00035323125  "	0.552683337	NA	NA
"ZINC00035328014"	1.078655267	-0.862254141	0.216401126
"ZINC00035328439  "	1.082650333	NA	NA
"ZINC00035328520"	0.803532474	-1.60284395	-0.799311476
"ZINC00035328520z"	0.810507502	NA	NA
"ZINC00035342789"	0.018433467	NA	NA
"ZINC00035636065"	0.763418446	-1.121730863	-0.358312417
"ZINC00035636073"	1.42306757	-0.64602354	0.77704403
"ZINC00035636075"	0.599635597	-0.008143267	0.59149233
"ZINC00035644915"	0.106762662	NA	NA
"ZINC00035793138"	0.862799961	-0.500067885	0.362732076
"ZINC00035793305"	0.956225068	-0.446010234	0.510214834
"ZINC00035793636"	0.993780992	-0.424387174	0.569393818
"ZINC00035793636z"	0.993780992	NA	NA
"ZINC00035801098"	1.063256895	-0.959557912	0.103698983
"ZINC00035801891"	0.418102652	NA	NA
"ZINC0003581056"	0.28326163	-1.186600043	-0.903338413
"ZINC00035826342"	0.631933588	NA	NA
"ZINC00035836133"	0.770547456	-1.213628868	-0.443081412
"ZINC0003584715"	NA	-1.100107803	NA
"ZINC0003585048"	1.035963958	NA	NA
"ZINC00035859742"	1.088011429	-0.759544606	0.328466823
"ZINC00035877948"	0.003661712	NA	NA
"ZINC00035880991"	1.371017035	-1.62446701	-0.253449975
"ZINC00035902488"	1.196326128	-1.656901601	-0.460575473
"ZINC00035902489"	1.196326128	-0.710892721	0.485433407
"ZINC00035930738"	0.302546553	NA	NA
"ZINC00035930738z"	0.404141755	NA	NA
"ZINC00035939962"	1.534186144	-1.862320672	-0.328134528
"ZINC00035943170"	NA	-0.273025753	NA
"ZINC00035943170  "	0.96169827	NA	NA
"ZINC00035953488"	1.327099943	NA	NA
"ZINC000359757"	NA	-0.440604469	NA
"ZINC00035978229"	0.241410669	NA	NA
"ZINC00035996916"	0.663603153	-0.300054579	0.363548574
"ZINC00035996961"	1.075320938	NA	NA
"ZINC0003620786"	0.677725949	-0.964963677	-0.287237728
"ZINC0003623447"	0.679489199	-0.429792939	0.24969626
"ZINC00036349281"	1.353096682	-2.256941519	-0.903844837
"ZINC00036377992"	1.163397801	-0.52709671	0.636301091
"ZINC00036379005"	0.842300931	-0.191939278	0.650361653
"ZINC00036380977"	0.454618619	-1.429859469	-0.97524085
"ZINC00036382102"	1.257584277	-1.116325098	0.141259179
"ZINC00036382580"	1.222570346	-1.321744169	-0.0991738230000001
"ZINC00036382821"	0.97235671	-1.575815125	-0.603458415
"ZINC0003643214"	1.224258162	NA	NA
"ZINC00036470974"	0.115936568	-0.997398267	-0.881461699
"ZINC00036475212"	NA	-1.300121109	NA
"ZINC00036475212  "	1.346594391	NA	NA
"ZINC0003649002"	1.226754108	NA	NA
"ZINC00036520252"	1.252938942	-0.521690945	0.731247997
"ZINC00036520254"	NA	-1.510945945	NA
"ZINC00036520254  "	0.973381959	NA	NA
"ZINC00036690025"	NA	-0.446010234	NA
"ZINC00036701290"	1.248968728	-2.808329552	-1.559360824
"ZINC00037246120  "	0.684341109	NA	NA
"ZINC00037293"	NA	-0.575748595	NA
"ZINC0003742"	0.429126887	NA	NA
"ZINC0003767"	0.280826661	NA	NA
"ZINC0003775140"	0.944053819	-0.418981409	0.52507241
"ZINC0003775143"	0.272566066	NA	NA
"ZINC0003775162"	0.664636468	-0.051389387	0.613247081
"ZINC0003775294"	0.236436724	-1.608249715	-1.371812991
"ZINC0003775575"	0.72261571	-0.629806245	0.092809465
"ZINC0003776794"	NA	-0.53790824	NA
"ZINC0003777403"	0.429663388	-0.473039059	-0.043375671
"ZINC0003777432"	0.095431348	NA	NA
"ZINC0003778381"	0.565796112	-0.521690945	0.044105167
"ZINC0003778441"	0.615874857	-0.700081191	-0.084206334
"ZINC0003778874"	NA	-1.359584524	NA
"ZINC0003779067"	0.341691112	-0.127070098	0.214621014
"ZINC0003779720"	0.636635918	NA	NA
"ZINC0003780014"	0.33541634	-0.300054579	0.035361761
"ZINC0003780340"	NA	-0.819008021	NA
"ZINC0003780343"	0.554908593	NA	NA
"ZINC0003780800"	0.551450284	-1.50554018	-0.954089896
"ZINC0003780893"	1.008813435	NA	NA
"ZINC0003780900"	1.255701253	NA	NA
"ZINC0003780965"	0.639076415	NA	NA
"ZINC0003781942"	0.863416379	-0.732515781	0.130900598
"ZINC0003781952"	1.226361996	-1.532569005	-0.306207009
"ZINC0003782486"	1.483992161	-1.640684306	-0.156692145
"ZINC0003782807"	0.59270941	NA	NA
"ZINC0003782818"	1.553167465	NA	NA
"ZINC0003782896"	0.405646714	NA	NA
"ZINC0003784073"	0.210010884	NA	NA
"ZINC0003784077"	0.984021892	-0.386546819	0.597475073
"ZINC0003784182"	0.832268811	-0.905500262	-0.0732314509999999
"ZINC0003784334"	1.230830536	-0.59196589	0.638864646
"ZINC0003785276"	NA	-0.035172092	NA
"ZINC0003785416"	0.064799615	NA	NA
"ZINC0003786250"	1.160252349	-0.65683507	0.503417279
"ZINC0003786283"	1.215102757	-1.413642174	-0.198539417
"ZINC0003786299"	0.69842315	NA	NA
"ZINC0003786466"	0.076687733	-0.045983622	0.030704111
"ZINC0003786562"	0.776826237	-0.418981409	0.357844828
"ZINC00037866089"	0.096383653	-1.024427092	-0.928043439
"ZINC00037866091"	0.37376543	NA	NA
"ZINC00037866146"	0.852802609	NA	NA
"ZINC00037866151"	0.786572519	-0.721704251	0.064868268
"ZINC00037866152"	0.977402661	-0.867659907	0.109742754
"ZINC0003787097"	0.727171968	NA	NA
"ZINC0003788703"	NA	-0.002737502	NA
"ZINC0003789145"	0.676652716	NA	NA
"ZINC0003789195"	0.327591062	-0.775761901	-0.448170839
"ZINC0003789788"	0.399267348	-0.332489169	0.066778179
"ZINC0003791931"	0.555640553	-0.937934852	-0.382294299
"ZINC0003792417"	0.167637427	-0.418981409	-0.251343982
"ZINC0003793213"	NA	-0.975775207	NA
"ZINC0003793840"	0.025068822	NA	NA
"ZINC0003794575"	0.476183788	-0.300054579	0.176129209
"ZINC0003794612"	0.892435665	-1.45148253	-0.559046865
"ZINC0003794794"	0.840273976	-3.116458158	-2.276184182
"ZINC0003795819"	0.00820869	-0.418981409	-0.410772719
"ZINC0003796262"	0.991551363	NA	NA
"ZINC0003797383"	0.399156592	NA	NA
"ZINC0003797401"	0.399267348	-0.835225316	-0.435957968
"ZINC0003797417"	0.773966163	NA	NA
"ZINC0003797930"	1.053657081	NA	NA
"ZINC0003797946"	NA	-1.737988076	NA
"ZINC0003797946  "	1.078922232	NA	NA
"ZINC0003798074"	NA	-0.781167666	NA
"ZINC0003798247"	0.027066193	NA	NA
"ZINC0003798537"	1.039581823	NA	NA
"ZINC0003798757"	0.778327591	-0.483850589	0.294477002
"ZINC0003798763"	0.567426878	NA	NA
"ZINC0003798772"	0.973366239	NA	NA
"ZINC0003799319"	0.148402033	-0.856848376	-0.708446343
"ZINC0003800008"	NA	-0.446010234	NA
"ZINC0003800008  "	0.707598305	NA	NA
"ZINC0003800706"	0.534129051	-0.213562338	0.320566713
"ZINC0003800855"	NA	-0.467633294	NA
"ZINC0003801027"	0.024713767	NA	NA
"ZINC0003801104"	0.322423245	-0.586560125	-0.26413688
"ZINC0003802222"	0.89173418	-0.710892721	0.180841459
"ZINC0003802462"	0.444706509	NA	NA
"ZINC0003802690"	0.193938052	NA	NA
"ZINC0003803"	NA	-0.300054579	NA
"ZINC0003803304"	0.128440166	-0.54871977	-0.420279604
"ZINC0003803377"	0.676741427	-1.327149934	-0.650408507
"ZINC0003803518  "	0.424361441	NA	NA
"ZINC0003803653"	NA	-0.770356136	NA
"ZINC0003803653  "	0.111074823	NA	NA
"ZINC0003803921"	0.876843245	NA	NA
"ZINC0003805769"	0.861138651	NA	NA
"ZINC0003806062"	0.191530251	-1.278498049	-1.086967798
"ZINC0003806063"	1.211706533	-0.716298486	0.495408047
"ZINC0003806413"	0.220392781	NA	NA
"ZINC0003806644"	0.180893032	NA	NA
"ZINC0003807804"	0.891899251	NA	NA
"ZINC0003808299"	0.421451952	-0.045983622	0.37546833
"ZINC0003809191"	0.672048885	-0.791979196	-0.119930311
"ZINC0003809192"	1.311330106	NA	NA
"ZINC0003809445"	1.036206901	-0.462227529	0.573979372
"ZINC0003809850"	NA	-0.116258568	NA
"ZINC0003810247"	1.301123884	-1.262280754	0.0388431299999998
"ZINC0003810794"	0.547841356	-0.54871977	-0.000878414000000105
"ZINC0003810825"	0.259564055	NA	NA
"ZINC0003810860"	1.079741952	NA	NA
"ZINC0003811419"	0.930913608	-0.451415999	0.479497609
"ZINC0003811810"	0.800028261	-0.916311792	-0.116283531
"ZINC0003812136"	NA	-0.981180972	NA
"ZINC0003812144"	1.491730738	NA	NA
"ZINC0003812682"	NA	-0.467633294	NA
"ZINC0003812841"	0.699497166	NA	NA
"ZINC0003812842"	0.768033717	NA	NA
"ZINC0003812867"	0.217444158	NA	NA
"ZINC0003812869"	0.15368201	NA	NA
"ZINC0003812876"	NA	-0.840631081	NA
"ZINC0003812887"	NA	-0.462227529	NA
"ZINC0003812897"	0.604676999	NA	NA
"ZINC0003812908"	NA	-0.927123322	NA
"ZINC0003812923"	0.958696013	-0.267619988	0.691076025
"ZINC0003812930"	0.858418729	NA	NA
"ZINC0003812975"	0.556375658	-0.932529087	-0.376153429
"ZINC0003812988"	0.249003864	-0.040577857	0.208426007
"ZINC0003813047"	0.459208835	-0.283837283	0.175371552
"ZINC0003813061"	0.623263198	NA	NA
"ZINC0003813328"	0.687478171	NA	NA
"ZINC00038138580  "	0.648866267	NA	NA
"ZINC00038139853"	0.346953473	NA	NA
"ZINC00038141711  "	0.575556947	NA	NA
"ZINC00038142002"	0.44560919	-0.116258568	0.329350622
"ZINC0003814360"	0.543519482	-0.105447038	0.438072444
"ZINC0003814379"	0.376551696	NA	NA
"ZINC0003814395"	0.457872181	-0.159504688	0.298367493
"ZINC0003814422"	0.399202362	-0.408169879	-0.00896751700000004
"ZINC0003814423"	0.204063953	NA	NA
"ZINC0003814479"	NA	-0.121664333	NA
"ZINC00038145818"	1.366769771	-2.132608923	-0.765839152
"ZINC00038146181"	0.189947488	-0.132475863	0.057471625
"ZINC00038147299"	NA	-0.49466212	NA
"ZINC00038147299  "	0.13239684	NA	NA
"ZINC00038149571"	1.26105053	-0.348706464	0.912344066
"ZINC0003815418"	0.540467311	-0.127070098	0.413397213
"ZINC0003815899"	1.236381832	-1.175788513	0.0605933189999999
"ZINC0003816269"	0.459317803	-0.435198704	0.024119099
"ZINC0003816287"	0.663443245	-1.040644387	-0.377201142
"ZINC0003816287z"	0.690128416	NA	NA
"ZINC0003816292"	1.001719523	-1.364990289	-0.363270766
"ZINC0003816292z"	1.012607535	NA	NA
"ZINC0003816311"	NA	-0.500067885	NA
"ZINC0003816408"	0.700115319	NA	NA
"ZINC0003816409"	0.090643082	-0.997398267	-0.906755185
"ZINC0003816510"	NA	-1.094702038	NA
"ZINC0003816510  "	1.514965707	NA	NA
"ZINC0003817105"	1.105062295	-0.970369442	0.134692853
"ZINC0003817189"	NA	-0.456821764	NA
"ZINC0003817189  "	0.359114597	NA	NA
"ZINC0003817327  "	0.576380615	NA	NA
"ZINC0003817388"	0.480626205	-1.305526874	-0.824900669
"ZINC0003817467"	0.024406452	-0.456821764	-0.432415312
"ZINC0003817546"	0.42681512	-0.63521201	-0.20839689
"ZINC0003817750"	0.536082259	NA	NA
"ZINC0003817793"	0.985416621	-0.873065672	0.112350949
"ZINC0003818388"	0.745523398	NA	NA
"ZINC0003818418"	1.122820749	-1.402830644	-0.280009895
"ZINC0003818556"	NA	-1.446076765	NA
"ZINC0003818726"	NA	-0.889282967	NA
"ZINC0003818809"	0.343831895	-1.392019114	-1.048187219
"ZINC0003818826"	0.620158015	-0.240591163	0.379566852
"ZINC0003819138"	0.87709613	-0.54871977	0.32837636
"ZINC0003819392"	1.129369195	-0.889282967	0.240086228
"ZINC0003819466"	0.563613326	-0.754138841	-0.190525515
"ZINC0003819893"	0.390969974	-0.62440048	-0.233430506
"ZINC0003820029"	0.818917866	-1.656901601	-0.837983735
"ZINC0003820040"	1.24265416	-0.51628518	0.72636898
"ZINC0003820043"	1.342558995	-1.60284395	-0.260284955
"ZINC0003820402"	0.095958954	-0.829819551	-0.733860597
"ZINC0003820559"	0.530740771	-1.646090071	-1.1153493
"ZINC0003820616"	0.721859687	-1.646090071	-0.924230384
"ZINC0003821675"	0.449792054	NA	NA
"ZINC00038217837"	1.274804987	-1.397424879	-0.122619892
"ZINC0003821976"	1.192232495	NA	NA
"ZINC00038226036"	0.65382547	-0.975775207	-0.321949737
"ZINC00038226503"	1.26266885	-1.938001382	-0.675332532
"ZINC0003822702"	1.620130311	-0.970369442	0.649760869
"ZINC00038228051"	1.703182053	-0.835225316	0.867956737
"ZINC0003823475"	1.124702814	-2.148826218	-1.024123404
"ZINC0003823492"	0.207837466	NA	NA
"ZINC00038235"	0.31520954	-0.278431518	0.036778022
"ZINC0003823565"	0.530256978	-0.748733076	-0.218476098
"ZINC00038237880"	0.509835321	NA	NA
"ZINC0003823813"	0.854276127	-1.386613349	-0.532337222
"ZINC00038239529  "	1.328936563	NA	NA
"ZINC0003824281"	0.572464669	-0.116258568	0.456206101
"ZINC0003824412"	0.473807953	-0.575748595	-0.101940642
"ZINC0003824468"	1.090327792	NA	NA
"ZINC00038247771"	NA	-0.473039059	NA
