"nms873"	"n616_ad4_zscore"	"cons"
"ZINC000147059673  "	1.494810353	NA	NA
"ZINC000147144800"	NA	-0.916311792	NA
"ZINC000147144800  "	0.231665999	NA	NA
"ZINC000147513579"	NA	-0.916311792	NA
"ZINC000147513579  "	1.198887439	NA	NA
"ZINC00014762797"	0.581131455	-0.57034283	0.010788625
"ZINC00014768621"	NA	-2.45154906	NA
"ZINC00014768621  "	0.31485497	NA	NA
"ZINC000147965934"	NA	-0.327083404	NA
"ZINC000147965934  "	0.466266454	NA	NA
"ZINC00014806405"	1.148712037	-0.61358895	0.535123087
"ZINC00014806830"	1.128194466	-1.159571218	-0.0313767519999999
"ZINC00014806912"	0.345206233	-0.813602256	-0.468396023
"ZINC0001481744"	0.244868018	-0.5595313	-0.314663282
"ZINC0001481789"	0.111074823	-0.045983622	0.065091201
"ZINC0001481819"	0.42772908	NA	NA
"ZINC0001481831"	0.985547012	-0.435198704	0.550348308
"ZINC0001481956"	0.870357578	-1.629872776	-0.759515198
"ZINC0001481966"	NA	-0.575748595	NA
"ZINC0001481990"	0.59445015	-1.192005808	-0.597555658
"ZINC0001482019"	0.024088141	-0.59196589	-0.567877749
"ZINC0001482030"	0.541375743	-0.49466212	0.046713623
"ZINC0001482039"	NA	-0.262214223	NA
"ZINC0001482077"	1.037046411	-1.60284395	-0.565797539
"ZINC0001482149"	0.005383431	-1.089296273	-1.083912842
"ZINC0001482169"	NA	-0.510879415	NA
"ZINC0001482913"	NA	-0.208156573	NA
"ZINC0001482927"	0.484478279	NA	NA
"ZINC00014864"	0.885915453	NA	NA
"ZINC0001487129"	0.58508825	-0.062200917	0.522887333
"ZINC000148723177"	NA	-1.619061245	NA
"ZINC000148723177  "	1.300710065	NA	NA
"ZINC0001487934"	0.151458199	-1.273092284	-1.121634085
"ZINC00014879999"	0.645939783	NA	NA
"ZINC0001488051"	1.209101335	-0.959557912	0.249543423
"ZINC0001488208"	0.019473761	-0.618994715	-0.599520954
"ZINC0001488270"	0.98588173	-1.116325098	-0.130443368
"ZINC0001488362"	0.273200628	-0.197345043	0.075855585
"ZINC0001488366"	1.182998328	-0.943340617	0.239657711
"ZINC0001488757"	1.268943797	NA	NA
"ZINC0001488870"	0.323938085	-1.197411573	-0.873473488
"ZINC0001489208"	NA	-1.586626655	NA
"ZINC0001489208  "	1.068874007	NA	NA
"ZINC0001489430"	1.07072929	-1.51635171	-0.44562242
"ZINC0001489430z"	1.074886397	NA	NA
"ZINC0001489478"	1.196757955	-0.49466212	0.702095835
"ZINC0001489490"	0.423605667	-1.256874989	-0.833269322
"ZINC0001489679"	0.622168103	-0.224373868	0.397794235
"ZINC0001489691"	0.2204106	NA	NA
"ZINC0001489691z"	0.221000702	NA	NA
"ZINC0001490"	NA	-0.278431518	NA
